customer_id,customer_name,email,phone,city,state,kyc_status,customer_since,annual_income,employment_type
1,Customer 1,customer1@mail.com,9000000001,Bangalore,Karnataka,verified,2023-01-01,300001,Salaried
2,Customer 2,customer2@mail.com,9000000002,Bangalore,Karnataka,verified,2023-01-01,300002,Salaried
3,Customer 3,customer3@mail.com,9000000003,Bangalore,Karnataka,verified,2023-01-01,300003,Salaried
4,Customer 4,customer4@mail.com,9000000004,Bangalore,Karnataka,verified,2023-01-01,300004,Salaried
5,Customer 5,customer5@mail.com,9000000005,Bangalore,Karnataka,verified,2023-01-01,300005,Salaried
6,Customer 6,customer6@mail.com,9000000006,Bangalore,Karnataka,verified,2023-01-01,300006,Salaried
7,Customer 7,customer7@mail.com,9000000007,Bangalore,Karnataka,verified,2023-01-01,300007,Salaried
8,Customer 8,customer8@mail.com,9000000008,Bangalore,Karnataka,verified,2023-01-01,300008,Salaried
9,Customer 9,customer9@mail.com,9000000009,Bangalore,Karnataka,verified,2023-01-01,300009,Salaried
10,Customer 10,customer10@mail.com,9000000010, delhi ,Karnataka,verified,2023-01-01,300010,Salaried
11,Customer 11,customer11@mail.com,9000000011,Bangalore,Karnataka,PENDING,2023-01-01,300011,Salaried
12,Customer 12,customer12@mail.com,9000000012,Bangalore,Karnataka,verified,2023-01-01,300012,Salaried
13,Customer 13,customer13@mail.com,9000000013,Bangalore,Karnataka,verified,2023-01-01,300013,Salaried
14,Customer 14,customer14@mail.com,9000000014,Bangalore,Karnataka,verified,2023-01-01,300014,Salaried
15,Customer 15,customer15@mail.com,9000000015,Bangalore,Karnataka,verified,2023-01-01,300015,Salaried
16,Customer 16,customer16@mail.com,9000000016,Bangalore,Karnataka,verified,2023-01-01,300016,Salaried
17,Customer 17,customer17@mail.com,9000000017,Bangalore,Karnataka,verified,2023-01-01,300017,Salaried
18,Customer 18,customer18@mail.com,9000000018,Bangalore,Karnataka,verified,2023-01-01,300018, salaried 
19,Customer 19,customer19@mail.com,9000000019,Bangalore,Karnataka,verified,2023-01-01,300019,Salaried
20,  amit sharma  ,customer20@mail.com,9000000020, delhi ,Karnataka,verified,2023-01-01,300020,Salaried
